#Date/Time of Update: 2017-04-29 11:19:08 PM,#Team ID,#Team Abbr.,#Team City,#Team Name,#Rank,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GB
,101,GSW,Golden State,Warriors,1,82,4579,55.8,2550,31.1,55.7,2561,31.2,982,12.0,38.3,7140,87.1,3532,43.1,49.5,1850,22.6,1457,17.8,78.8,1223,14.9,3080,37.6,4303,52.5,2491,30.4,9503,115.9,1184,14.4,786,9.6,552,6.7,314,3.8,8549,104.3,1653,20.2,1585,19.3,1585,0.6,954,11.6,1589,19.4,1589,19.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,67,15,0.817,0.0
,106,SAS,San Antonio,Spurs,2,82,4937,60.2,2469,30.1,50.0,1926,23.5,753,9.2,39.1,6863,83.7,3222,39.3,47.0,1806,22.0,1440,17.6,79.7,1250,15.2,2932,35.8,4182,51.0,1954,23.8,8637,105.3,1055,12.9,657,8.0,485,5.9,333,4.1,8047,98.1,1523,18.6,1496,18.2,1496,0.2,590,7.2,1625,19.8,1625,19.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,61,21,0.744,0.0
,109,HOU,Houston,Rockets,3,82,3841,46.8,2124,25.9,55.3,3306,40.3,1181,14.4,35.7,7147,87.2,3305,40.3,46.2,2177,26.5,1667,20.3,76.6,1408,17.2,2947,35.9,4355,53.1,2070,25.2,9458,115.3,1189,14.5,670,8.2,352,4.3,408,5.0,8985,109.6,1687,20.6,1633,19.9,1633,0.4,473,5.8,1676,20.4,1676,20.4,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,55,27,0.671,0.0
,82,BOS,Boston,Celtics,4,82,4238,51.7,2183,26.6,51.5,2741,33.4,985,12.0,35.9,6979,85.1,3168,38.6,45.4,1903,23.2,1536,18.7,80.7,1223,14.9,2894,35.3,4117,50.2,2069,25.2,8857,108.0,1037,12.6,617,7.5,339,4.1,429,5.2,8641,105.4,1753,21.4,1684,20.5,1684,0.5,216,2.6,1667,20.3,1667,20.3,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,53,29,0.646,0.0
,102,LAC,Los Angeles,Clippers,5,82,4574,55.8,2401,29.3,52.5,2245,27.4,841,10.3,37.5,6819,83.2,3242,39.5,47.5,2128,26.0,1586,19.3,74.5,1257,15.3,2988,36.4,4245,51.8,1848,22.5,8911,108.7,1024,12.5,614,7.5,349,4.3,258,3.1,8559,104.4,1698,20.7,1626,19.8,1626,0.6,352,4.3,1835,22.4,1835,22.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,31,0.622,0.0
,81,TOR,Toronto,Raptors,6,82,4921,60.0,2486,30.3,50.5,1996,24.3,725,8.8,36.3,6917,84.4,3211,39.2,46.4,2028,24.7,1615,19.7,79.6,1342,16.4,2827,34.5,4170,50.9,1517,18.5,8762,106.9,970,11.8,679,8.3,402,4.9,396,4.8,8417,102.6,1773,21.6,1710,20.9,1710,0.5,345,4.2,1665,20.3,1665,20.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,31,0.622,0.0
,98,UTA,Utah,Jazz,7,82,4382,53.4,2242,27.3,51.2,2129,26.0,791,9.6,37.2,6511,79.4,3033,37.0,46.6,1875,22.9,1401,17.1,74.7,1243,15.2,2933,35.8,4176,50.9,1651,20.1,8258,100.7,1061,12.9,549,6.7,409,5.0,311,3.8,7935,96.8,1583,19.3,1546,18.9,1546,0.2,323,3.9,1654,20.2,1654,20.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,31,0.622,0.0
,86,CLE,Cleveland,Cavaliers,8,82,4184,51.0,2208,26.9,52.8,2779,33.9,1067,13.0,38.4,6963,84.9,3275,39.9,47.0,1913,23.3,1431,17.5,74.8,1277,15.6,2988,36.4,4265,52.0,1858,22.7,9048,110.3,1081,13.2,541,6.6,329,4.0,355,4.3,8787,107.2,1520,18.5,1484,18.1,1484,0.3,261,3.2,1692,20.6,1692,20.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,51,31,0.622,0.0
,94,WAS,Washington,Wizards,9,82,5103,62.2,2632,32.1,51.6,2031,24.8,756,9.2,37.2,7134,87.0,3388,41.3,47.5,1812,22.1,1421,17.3,78.4,1319,16.1,2834,34.6,4153,50.6,1956,23.9,8953,109.2,1101,13.4,695,8.5,343,4.2,378,4.6,8805,107.4,1817,22.2,1756,21.4,1756,0.5,148,1.8,1620,19.8,1620,19.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,49,33,0.598,0.0
,96,OKL,Oklahoma City,Thunder,10,82,5048,61.6,2545,31.0,50.4,2117,25.8,692,8.4,32.7,7165,87.4,3237,39.5,45.2,2113,25.8,1575,19.2,74.5,1629,19.9,2986,36.4,4615,56.3,1721,21.0,8741,106.6,1202,14.7,647,7.9,413,5.0,446,5.4,8679,105.8,1767,21.5,1712,20.9,1712,0.5,62,0.8,1700,20.7,1700,20.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,47,35,0.573,0.0
,107,MEM,Memphis,Grizzlies,11,82,4684,57.1,2217,27.0,47.3,2169,26.5,767,9.4,35.4,6853,83.6,2984,36.4,43.5,1918,23.4,1504,18.3,78.4,1418,17.3,2817,34.4,4235,51.6,1744,21.3,8239,100.5,1020,12.4,654,8.0,343,4.2,411,5.0,8199,100.0,1892,23.1,1839,22.4,1839,0.4,40,0.5,1709,20.8,1709,20.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,39,0.524,0.0
,91,ATL,Atlanta,Hawks,12,82,4781,58.3,2394,29.2,50.1,2136,26.0,729,8.9,34.1,6917,84.4,3123,38.1,45.2,2039,24.9,1484,18.1,72.8,1416,17.3,2988,36.4,4404,53.7,1938,23.6,8459,103.2,1248,15.2,671,8.2,402,4.9,425,5.2,8529,104.0,1551,18.9,1491,18.2,1491,0.4,-70,-0.9,1769,21.6,1769,21.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,43,39,0.524,0.0
,90,MIL,Milwaukee,Bucks,13,82,4766,58.1,2462,30.0,51.7,1947,23.7,720,8.8,37.0,6713,81.9,3182,38.8,47.4,1839,22.4,1413,17.2,76.8,1180,14.4,2758,33.6,3938,48.0,1984,24.2,8497,103.6,1096,13.4,666,8.1,440,5.4,379,4.6,8512,103.8,1718,21.0,1664,20.3,1664,0.3,-15,-0.2,1578,19.2,1578,19.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42,40,0.512,0.0
,87,IND,Indiana,Pacers,14,82,5044,61.5,2511,30.6,49.8,1887,23.0,710,8.7,37.6,6931,84.5,3221,39.3,46.5,1811,22.1,1467,17.9,81.0,1165,14.2,2857,34.8,4022,49.0,1844,22.5,8619,105.1,1086,13.2,669,8.2,411,5.0,408,5.0,8636,105.3,1642,20.0,1598,19.5,1598,0.3,-17,-0.2,1599,19.5,1599,19.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,42,40,0.512,0.0
,92,MIA,Miami,Heat,15,82,4823,58.8,2394,29.2,49.6,2213,27.0,808,9.9,36.5,7036,85.8,3202,39.0,45.5,1768,21.6,1248,15.2,70.6,1438,17.5,2883,35.2,4322,52.7,1742,21.2,8460,103.2,1036,12.6,586,7.1,472,5.8,403,4.9,8373,102.1,1735,21.2,1683,20.5,1683,0.5,87,1.1,1527,18.6,1527,18.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,41,41,0.500,0.0
,89,CHI,Chicago,Bulls,16,82,5308,64.7,2546,31.0,48.0,1831,22.3,623,7.6,34.0,7139,87.1,3169,38.6,44.4,1848,22.5,1474,18.0,79.8,1475,18.0,2964,36.1,4440,54.1,1851,22.6,8435,102.9,1063,13.0,646,7.9,397,4.8,380,4.6,8400,102.4,1510,18.4,1457,17.8,1457,0.4,35,0.4,1541,18.8,1541,18.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,41,41,0.500,0.0
,97,POR,Portland,Trail Blazers,17,82,4787,58.4,2391,29.2,50.0,2274,27.7,852,10.4,37.5,7061,86.1,3243,39.5,45.9,1940,23.7,1513,18.5,78.0,1298,15.8,2931,35.7,4230,51.6,1733,21.1,8851,107.9,1077,13.1,576,7.0,408,5.0,436,5.3,8894,108.5,1784,21.8,1759,21.5,1759,0.3,-43,-0.5,1625,19.8,1625,19.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,41,41,0.500,0.0
,99,DEN,Denver,Nuggets,18,82,4833,58.9,2507,30.6,51.9,2364,28.8,870,10.6,36.8,7197,87.8,3377,41.2,46.9,1986,24.2,1537,18.7,77.4,1501,18.3,2994,36.5,4496,54.8,2077,25.3,9161,111.7,1185,14.5,571,7.0,327,4.0,407,5.0,9119,111.2,1614,19.7,1569,19.1,1569,0.3,42,0.5,1651,20.1,1651,20.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,40,42,0.488,0.0
,88,DET,Detroit,Pistons,19,82,5366,65.4,2638,32.2,49.2,1915,23.4,631,7.7,33.0,7281,88.8,3269,39.9,44.9,1586,19.3,1140,13.9,71.9,1429,17.4,2996,36.5,4425,54.0,1732,21.1,8309,101.3,932,11.4,575,7.0,311,3.8,340,4.1,8401,102.5,1519,18.5,1472,18.0,1472,0.3,-92,-1.1,1436,17.5,1436,17.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,37,45,0.451,0.0
,93,CHA,Charlotte,Hornets,20,82,4655,56.8,2269,27.7,48.7,2345,28.6,824,10.0,35.1,7000,85.4,3093,37.7,44.2,1953,23.8,1591,19.4,81.5,1201,14.6,3016,36.8,4217,51.4,1891,23.1,8601,104.9,898,11.0,570,7.0,398,4.9,454,5.5,8585,104.7,1401,17.1,1361,16.6,1361,0.3,16,0.2,1630,19.9,1630,19.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,36,46,0.439,0.0
,110,NOP,New Orleans,Pelicans,21,82,4933,60.2,2442,29.8,49.5,2196,26.8,768,9.4,35.0,7129,86.9,3210,39.1,45.0,1825,22.3,1368,16.7,75.0,1165,14.2,3068,37.4,4233,51.6,1869,22.8,8556,104.3,1011,12.3,642,7.8,452,5.5,347,4.2,8728,106.4,1534,18.7,1493,18.2,1493,0.3,-172,-2.1,1578,19.2,1578,19.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,34,48,0.415,0.0
,108,DAL,Dallas,Mavericks,22,82,4275,52.1,2090,25.5,48.9,2472,30.1,878,10.7,35.5,6747,82.3,2968,36.2,44.0,1516,18.5,1215,14.8,80.2,1004,12.2,2673,32.6,3677,44.8,1705,20.8,8029,97.9,921,11.2,615,7.5,306,3.7,283,3.5,8269,100.8,1616,19.7,1568,19.1,1568,0.4,-240,-2.9,1590,19.4,1590,19.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33,49,0.402,0.0
,103,SAC,Sacramento,Kings,23,82,4775,58.2,2368,28.9,49.6,1958,23.9,737,9.0,37.6,6733,82.1,3105,37.9,46.1,1913,23.3,1483,18.1,77.5,1207,14.7,2818,34.4,4026,49.1,1844,22.5,8430,102.8,1158,14.1,626,7.6,325,4.0,420,5.1,8748,106.7,1711,20.9,1665,20.3,1665,0.4,-318,-3.9,1648,20.1,1648,20.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,32,50,0.390,0.0
,100,MIN,Minnesota,Timberwolves,24,82,5196,63.4,2634,32.1,50.7,1722,21.0,601,7.3,34.9,6918,84.4,3235,39.5,46.8,1986,24.2,1586,19.3,79.9,1394,17.0,2692,32.8,4086,49.8,1940,23.7,8657,105.6,1103,13.5,654,8.0,370,4.5,413,5.0,8748,106.7,1683,20.5,1647,20.1,1647,0.3,-91,-1.1,1680,20.5,1680,20.5,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,31,51,0.378,0.0
,83,NYK,New York,Knicks,25,82,5231,63.8,2540,31.0,48.6,2019,24.6,704,8.6,34.9,7250,88.4,3244,39.6,44.7,1731,21.1,1364,16.6,78.8,1462,17.8,2882,35.1,4344,53.0,1786,21.8,8556,104.3,1083,13.2,584,7.1,450,5.5,376,4.6,8857,108.0,1723,21.0,1667,20.3,1667,0.4,-301,-3.7,1517,18.5,1517,18.5,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,31,51,0.378,0.0
,95,ORL,Orlando,Magic,26,82,4993,60.9,2438,29.7,48.8,2139,26.1,701,8.5,32.8,7132,87.0,3139,38.3,44.0,1753,21.4,1309,16.0,74.7,1351,16.5,2902,35.4,4253,51.9,1820,22.2,8288,101.1,1054,12.9,580,7.1,396,4.8,416,5.1,8827,107.6,1632,19.9,1584,19.3,1584,0.4,-539,-6.6,1532,18.7,1532,18.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,29,53,0.354,0.0
,85,PHI,Philadelphia,76ers,27,82,4543,55.4,2257,27.5,49.7,2443,29.8,831,10.1,34.0,6986,85.2,3088,37.7,44.2,1806,22.0,1393,17.0,77.1,1333,16.3,2874,35.0,4207,51.3,1949,23.8,8400,102.4,1314,16.0,693,8.5,415,5.1,441,5.4,8867,108.1,1838,22.4,1795,21.9,1795,0.3,-467,-5.7,1609,19.6,1609,19.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,28,54,0.341,0.0
,105,LAL,Los Angeles,Lakers,28,82,5058,61.7,2494,30.4,49.3,2107,25.7,730,8.9,34.6,7165,87.4,3224,39.3,45.0,1853,22.6,1397,17.0,75.4,1406,17.1,2797,34.1,4204,51.3,1716,20.9,8575,104.6,1193,14.5,675,8.2,323,3.9,446,5.4,9140,111.5,1753,21.4,1699,20.7,1699,0.4,-565,-6.9,1520,18.5,1520,18.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,26,56,0.317,0.0
,104,PHX,Phoenix,Suns,29,82,5406,65.9,2655,32.4,49.1,1853,22.6,615,7.5,33.2,7259,88.5,3270,39.9,45.0,2159,26.3,1676,20.4,77.6,1504,18.3,2890,35.2,4396,53.6,1604,19.6,8831,107.7,1226,15.0,673,8.2,403,4.9,436,5.3,9293,113.3,2124,25.9,2035,24.8,2035,0.7,-462,-5.6,1818,22.2,1818,22.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,24,58,0.293,0.0
,84,BRO,Brooklyn,Nets,30,82,4398,53.6,2225,27.1,50.6,2589,31.6,877,10.7,33.9,6987,85.2,3102,37.8,44.4,2020,24.6,1592,19.4,78.8,1195,14.6,3051,37.2,4246,51.8,1756,21.4,8673,105.8,1306,15.9,596,7.3,386,4.7,459,5.6,9225,112.5,1776,21.7,1727,21.1,1727,0.3,-552,-6.7,1670,20.4,1670,20.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,20,62,0.244,0.0
